Continent,Country,Population_Density,Fertility_Rate,GDP_PPP,Corruption,Government_Effectiveness,Political_Stability,Rule_of_Law,Government_Healthcare_Spend,Urban_Population,Smoking_Prevalence,Tourism,Women_In_Parliament,Obesity_Rate,Year,Diabetes Prevelance % of Population 20-79,Labour Force Total,Population,Population Aged 65 and above % of Total,Urban Population,Death Rate Per 1000 (2017),"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter) (2017)","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total) (2017)"
Asia,Afghanistan,59.6,4.04,1800.0,-1.496648,-1.457285,-2.74673,-1.668478,0.05095819,0.10800000000000001,,,0.2786885,0.055,2019.0,9.2,10699797.0,38041754.0,2.615794214,9797273.0,6.575,56.91080835,100.0
Europe,Albania,105.0,1.7,13200.0,-0.5218667,0.11478800000000002,0.3821,-0.392243,,,0.287,5340000.0,0.295082,0.217,2019.0,9.0,1313923.0,2854191.0,14.20263062,1747593.0,7.7139999999999995,18.20060252,100.0
Africa,Algeria,18.4,2.54,14000.0,-0.636465,-0.4439246,-0.7937849,-0.7753089,0.6595469,0.0634,0.156,2657000.0,0.25757579999999997,0.27399999999999997,2019.0,6.7,12303926.0,43053054.0,6.552777882000001,31510100.0,4.717,38.884010700000005,100.0
Europe,Andorra,164.0,,55000.0,1.2386139999999999,1.9449759999999998,1.425432,1.607738,0.49031990000000003,,0.335,3042000.0,0.4642857,0.256,2019.0,7.7,,77142.0,,67873.0,,10.30762139,17.82445949
Africa,Angola,26.4,5.41,5440.0,-1.144541,-1.052086,-0.3190349,-1.048023,0.4627865,0.253,,218000.0,0.3,0.08199999,2019.0,4.5,13164276.0,31825295.0,2.19934175,21061025.0,8.432,32.38850491,100.0
North America,Antigua and Barbuda,223.0,2.01,25000.0,0.27663459999999995,-0.0060096,0.7261432,0.3933258,0.4703499,,,269000.0,0.1111111,0.18899999999999997,2019.0,13.1,,97118.0,9.054964064,23800.0,6.316,18.62234285,100.0
South America,Argentina,16.5,2.23,17100.0,-0.0834675,0.0259878,0.019931900000000002,-0.2400078,0.7243212,0.429,0.218,6942000.0,0.4015748,0.28300000000000003,2019.0,5.9,20772672.0,44938712.0,11.24310827,41339571.0,7.6160000000000005,13.31183395,93.85282467
Europe,Armenia,104.0,1.59,10200.0,-0.3491127,-0.0243394,-0.4187803,-0.15002620000000003,0.1324467,0.366,0.24100000000000002,1652000.0,0.23484850000000002,0.20199999999999999,2019.0,6.1,1303565.0,2957731.0,11.48366772,1869848.0,9.862,32.52811834,100.0
Oceania,Australia,3.32,1.81,45800.0,1.806201,1.596495,0.9765741,1.715279,0.6891285,0.609,0.147,9246000.0,0.30463579999999996,0.29,2019.0,5.6,13414956.0,25364307.0,15.92120175,21844756.0,6.5,8.550324401000001,24.89358377
Europe,Austria,109.0,1.54,47300.0,1.596262,1.453342,0.9175232,1.875834,0.7239253999999999,0.21600000000000003,0.29600000000000004,30816000.0,0.3934426,0.201,2019.0,6.6,4613292.0,8877067.0,19.07560629,5194416.0,9.5,12.47796673,85.05153767
Europe,Azerbaijan,123.0,2.01,16400.0,-0.8286030999999999,-0.1004674,-0.6967331,-0.6002175999999999,0.15107320000000002,0.231,0.20800000000000002,2633000.0,0.1680672,0.19899999999999998,2019.0,6.1,5103137.0,10023318.0,6.44638912,5616165.0,5.8,19.92866362,100.0
North America,Bahamas,39.3,1.74,28300.0,1.131102,0.5391499,0.8721167,0.0969947,0.4386956,,0.115,1633000.0,0.12820510000000002,0.316,2019.0,8.8,226287.0,389482.0,7.483272653999999,323784.0,6.72,17.36772049,99.99999999
Asia,Bahrain,2240.0,1.94,42000.0,-0.14728670000000002,0.1798774,-0.8404424,0.4127088,0.5797814,,0.264,12045000.0,0.15,0.298,2019.0,15.6,978624.0,1641172.0,2.518809729,1467109.0,2.3680000000000003,70.81620768,100.0
Asia,Bangladesh,1270.0,2.0,4400.0,-0.9050215,-0.7483993,-1.0324799999999998,-0.6402364,0.16693339999999998,0.155,0.23,,0.20630370000000003,0.036000000000000004,2019.0,9.2,70009461.0,163046161.0,5.180351348,60987417.0,5.5329999999999995,60.84578458,100.0
North America,Barbados,668.0,1.8,16700.0,1.411373,0.4269727,0.9214329,0.3949094,0.4420089,,0.078,680000.0,0.2,0.231,2019.0,13.4,155296.0,287025.0,16.23099033,89431.0,8.936,23.0801758,100.0
Europe,Belarus,46.6,1.73,18200.0,-0.19227560000000002,-0.3010303,0.35353190000000007,-0.8329658999999999,0.6996361999999999,0.213,0.267,11501600.0,0.4,0.245,2019.0,5.0,5036882.0,9466856.0,15.20084135,7482982.0,12.6,18.76557991,99.93135197
Europe,Belgium,383.0,1.81,43900.0,1.5102790000000001,1.171748,0.41235600000000006,1.3679,0.7721739000000001,0.27,0.282,9119000.0,0.42,0.221,2019.0,4.6,5101824.0,11484055.0,19.00656607,11259082.0,9.6,12.88651847,91.94854035
North America,Belize,17.4,2.38,7780.0,-0.138192,-0.5938884,0.0156727,-0.8239540000000001,0.6797633000000001,,,489000.0,0.09375,0.24100000000000002,2019.0,17.1,178514.0,390353.0,4.86738926,179039.0,4.681,23.01189211,100.0
Africa,Benin,108.0,4.7,2310.0,-0.3833744,-0.5659866,-0.132421,-0.6751704000000001,0.2998447,,0.064,295000.0,0.07228915,0.096,2019.0,1.0,4833491.0,11801151.0,3.264884925,5648149.0,9.025,38.99995876,100.0
Asia,Bhutan,20.2,1.94,10200.0,1.646514,0.3588973,1.1046049999999998,0.5520925999999999,0.7451843,,,274000.0,0.14893620000000002,0.064,2019.0,10.3,380085.0,763092.0,6.092974373,317538.0,6.242999999999999,37.9265032,100.0
South America,Bolivia,10.8,2.73,7320.0,-0.6259100000000001,-0.32209940000000004,-0.2428411,-1.14962,0.685277,0.415,,1142000.0,0.5307691999999999,0.20199999999999999,2019.0,6.8,5735836.0,11513100.0,7.3386316460000005,8033035.0,6.795,21.568986600000002,99.99913202
Europe,Bosnia and Herzegovina,64.3,1.42,13500.0,-0.5718023,-0.6185398,-0.3923242,-0.23321109999999998,0.7048748,,0.389,1053000.0,0.2142857,0.179,2019.0,9.0,1306464.0,3301000.0,17.20115117,1605144.0,10.562999999999999,27.74766896,99.95523503
Africa,Botswana,4.15,2.56,17200.0,0.7505108,0.33344109999999993,0.9791562,0.4664786,0.756596,,0.2,,0.1076923,0.18899999999999997,2019.0,5.8,1080610.0,2303697.0,4.365895341,1616550.0,5.834,23.09438618,100.0
South America,Brazil,25.4,1.67,14500.0,-0.4196956,-0.4474374,-0.3570176,-0.2776436,0.4187938,0.42100000000000004,0.139,6621000.0,0.1500975,0.221,2019.0,10.4,106500838.0,211049527.0,9.251608036,183241641.0,6.377999999999999,12.70662947,68.13503006
Asia,Brunei,83.0,1.82,75100.0,0.7953077,1.2527139999999999,1.201149,0.6292501,0.9482338,,0.16899999999999998,278000.0,0.09090909,0.141,2019.0,13.3,216860.0,433285.0,5.208811752,337711.0,4.345,5.903065467999999,0.0
Europe,Bulgaria,64.0,1.62,20900.0,-0.15153350000000002,0.2718757,0.4196386,-0.029567000000000003,0.5186407999999999,0.183,0.37,9273000.0,0.2583333,0.25,2019.0,6.0,3295081.0,6975761.0,21.25296727,5256027.0,15.5,19.14913234,99.89467432
Africa,Burkina Faso,76.4,5.03,1860.0,-0.11239500000000001,-0.5783429,-1.040907,-0.4455683,0.4330193,0.131,0.125,144000.0,0.13385829999999999,0.055999999999999994,2019.0,7.3,7468213.0,20321378.0,2.4072875369999998,6092349.0,8.341000000000001,42.93559251,100.0
Africa,Burundi,463.0,5.38,628.0,-1.450633,-1.419982,-1.5979510000000001,-1.4966110000000001,0.2471393,,,,0.3636364,0.054000000000000006,2019.0,5.1,4983237.0,11530580.0,2.312095315,1541177.0,8.106,38.89626795,100.0
Asia,Cambodia,94.7,2.45,4290.0,-1.325572,-0.568605,0.10822899999999999,-1.114671,0.2380185,0.122,0.172,6201000.0,0.2,0.039,2019.0,6.4,9350230.0,16486542.0,4.717769196,3924621.0,6.017,25.61429187,100.0
Africa,Cameroon,56.2,4.44,3460.0,-1.149748,-0.7996525,-1.37598,-1.0796620000000001,0.13317579999999998,0.284,,,0.3111111,0.114,2019.0,6.0,11345979.0,25876380.0,2.723649908,14741256.0,9.501,72.79309622,100.0
North America,Canada,4.15,1.56,44500.0,1.873514,1.7161080000000002,0.9911886000000001,1.7707950000000001,0.7371864,0.45799999999999996,0.14300000000000002,21134000.0,0.2899408,0.294,2019.0,7.6,20583847.0,37589262.0,17.64789689,30628482.0,7.5,6.428383133,0.0
Africa,Cape Verde,138.0,2.2,7170.0,0.7682196,0.3192393,0.7472337,0.44545680000000004,0.6024473000000001,,0.09100001,710000.0,0.2361111,0.11800000000000001,2019.0,2.4,238022.0,549935.0,4.698373444,364029.0,5.682,34.7787001,100.0
Africa,Central African Republic,7.75,4.57,817.0,-1.233395,-1.7204169999999999,-2.281261,-1.6876919999999997,0.1282263,,,,0.08571428,0.075,2019.0,6.0,1914794.0,4745185.0,2.81479015,1982064.0,12.671,56.82849738,100.0
Africa,Chad,13.0,5.55,1790.0,-1.410393,-1.5288469999999998,-1.478995,-1.305276,0.1580557,0.086,,,0.1488095,0.061,2019.0,6.0,5995556.0,15946876.0,2.491641623,3712273.0,12.309000000000001,66.0292055,100.0
South America,Chile,25.7,1.75,23300.0,1.012118,1.084034,0.4252459,1.115472,0.5005831000000001,0.355,0.37799999999999995,5723000.0,0.2258064,0.28,2019.0,8.6,9557893.0,18952038.0,11.88154013,16610135.0,6.0760000000000005,21.03629906,97.66301771
Asia,China,153.0,1.65,18100.0,-0.2712442,0.47712840000000006,-0.2610621,-0.20157479999999997,0.5667335,0.285,0.256,62900000.0,0.2494118,0.062,2019.0,9.2,781074570.0,1397715000.0,11.47219302,842933962.0,7.11,52.66459583,99.99829446
South America,Colombia,45.9,1.78,14000.0,-0.3014929,-0.08522619999999999,-0.8133885000000001,-0.40780890000000003,0.6779965,0.439,0.09,3904000.0,0.1871345,0.223,2019.0,7.4,26787864.0,50339443.0,8.765830007,40827302.0,5.502999999999999,16.52721022,92.10462898
Africa,Comoros,467.0,4.07,2520.0,-0.8164125,-1.639134,-0.20326470000000002,-1.081078,0.12748030000000002,,0.14,35900.0,0.06060606,0.078,2019.0,12.3,223593.0,850886.0,3.055403427,248152.0,7.297999999999999,20.5468246,100.0
Africa,"Congo, Dem. Rep.",39.5,5.72,845.0,-1.503398,-1.5547870000000001,-2.116205,-1.7842209999999998,0.09949007,0.244,,,0.1,0.067,2019.0,6.0,29741906.0,86790567.0,3.016939617,39095679.0,9.691,44.9092636,100.0
Africa,"Congo, Rep.",16.2,4.42,5110.0,-1.3588069999999999,-1.217236,-0.44281809999999994,-1.101223,0.40735759999999993,0.647,0.26899999999999996,156000.0,0.1125828,0.096,2019.0,6.0,2184551.0,5380508.0,2.7214158960000003,3625010.0,6.827999999999999,46.63822028,100.0
North America,Costa Rica,99.8,1.73,16000.0,0.5517608,0.3781868,0.48643450000000005,0.47870280000000004,0.7350926999999999,0.273,0.11900000000000001,3017000.0,0.45614040000000006,0.257,2019.0,9.1,2473778.0,5047561.0,9.880435323,4041885.0,5.005,15.7259203,99.68879337
Africa,Cote d'Ivoire,83.0,4.66,4090.0,-0.4990963,-0.5705186,-0.9311823,-0.5795925000000001,0.284602,0.19699999999999998,,1965000.0,0.1098039,0.10300000000000001,2019.0,2.4,8536665.0,25716544.0,2.873119343,13176900.0,10.262,25.88626634,100.0
Europe,Croatia,73.4,1.44,25300.0,0.1316391,0.4569183,0.7688775999999999,0.324786,0.8282709999999999,,0.37,16645000.0,0.205298,0.244,2019.0,5.4,1778668.0,4067500.0,20.86013523,2328318.0,13.0,17.90177229,99.77960527
North America,Cuba,106.0,1.72,8370.0,0.1654153,-0.24483779999999997,0.6523342,-0.4443496,0.8944213,0.18899999999999997,0.35200000000000004,4684000.0,0.5322314,0.24600000000000002,2019.0,9.6,5098407.0,11333483.0,15.56495916,8739135.0,8.827,19.7060474,100.0
Europe,Cyprus,131.0,1.33,35100.0,0.6399661999999999,0.9209021999999999,0.543319,0.7534632,0.42407029999999996,,0.364,3939000.0,0.1785714,0.218,2019.0,9.0,629536.0,1198575.0,14.04826565,800708.0,6.952000000000001,17.2944062,100.0
Europe,Czech Republic,139.0,1.6,35000.0,0.5037321,0.9222081,1.040143,1.04966,0.8174879,0.122,0.34299999999999997,10611000.0,0.225,0.26,2019.0,7.0,5445535.0,10669709.0,19.80074484,7887156.0,10.5,16.07124535,99.67721262
Europe,Denmark,137.0,1.77,48900.0,2.147795,1.871631,0.9590668,1.833378,0.8402403,0.22899999999999998,0.191,12749000.0,0.3910614,0.19699999999999998,2019.0,8.3,3026441.0,5818553.0,19.96525913,5119978.0,9.2,10.02965344,56.91445611
Africa,Djibouti,42.6,2.62,3710.0,-0.7168093000000001,-0.8990966,-0.13412290000000002,-0.9226128,0.4704879,,0.131,,0.2615385,0.135,2019.0,5.1,415214.0,973560.0,4.609063643,758549.0,7.292999999999999,45.549617600000005,100.0
North America,Dominica,96.0,,10900.0,0.5457337,-0.2895034,1.1079350000000001,0.6176010999999999,0.6496321999999999,,,63000.0,0.25,0.27899999999999997,2019.0,11.6,,71808.0,,50830.0,,19.49315376,100.0
North America,Dominican Republic,225.0,2.31,17100.0,-0.74949,-0.4002573,0.034793300000000006,-0.3962312,0.4600228,0.302,0.13699999999999998,6569000.0,0.26842109999999997,0.276,2019.0,8.6,4993453.0,10738958.0,7.298389658,8787475.0,6.12,13.72632115,99.91344262
South America,Ecuador,71.0,2.38,10100.0,-0.5617972,-0.2613976,-0.0747498,-0.6301614999999999,0.5282087,0.276,0.071,2535000.0,0.379562,0.19899999999999998,2019.0,5.5,8545537.0,17373662.0,7.372199367,11116711.0,5.101,14.88610066,98.31562394
Africa,Egypt,103.0,3.06,11800.0,-0.5869340999999999,-0.5848041,-1.164931,-0.412311,0.32995240000000003,0.256,0.252,11196000.0,0.1493289,0.32,2019.0,17.2,30828413.0,100388073.0,5.276332976,42895824.0,5.8629999999999995,86.99945205,100.0
North America,El Salvador,313.0,2.0,7610.0,-0.5911076999999999,-0.4471425,-0.3348508,-0.8247701,0.6374561,0.171,0.099,1677300.0,0.30952379999999996,0.24600000000000002,2019.0,8.8,2789514.0,6453553.0,8.469582569,4694702.0,7.011,24.47229229,100.0
Africa,Equatorial Guinea,50.0,4.34,17700.0,-1.559684,-1.2943799999999999,-0.0511222,-1.41511,0.1883261,,,,0.21,0.08,2019.0,6.0,529729.0,1355986.0,2.424508808,984812.0,9.542,53.24062104,100.0
Africa,Eritrea,35.1,3.86,1420.0,-1.316023,-1.727732,-0.6051562,-1.58643,0.27249059999999997,,0.057,,0.22,0.05,2019.0,5.1,,,,,7.3260000000000005,48.03019868,100.0
Europe,Estonia,31.3,1.69,32900.0,1.506318,1.191938,0.5999668,1.2406270000000001,0.7466411999999999,,0.313,3234000.0,0.2970297,0.212,2019.0,4.2,704366.0,1326590.0,19.99180778,916024.0,11.8,6.732124015,0.0
Africa,Ethiopia,115.0,3.76,2000.0,-0.4861672,-0.6074696999999999,-1.343246,-0.4282891,0.2494518,0.040999999999999995,0.044000000000000004,849000.0,0.3875686,0.045,2019.0,4.3,53195214.0,112078730.0,3.516690455,23788710.0,6.691,38.97873776,100.0
Oceania,Fiji,49.1,2.42,10200.0,0.38099740000000004,0.2595362,0.7425547,-0.1286585,0.6623089,,0.226,870000.0,0.19607839999999999,0.302,2019.0,14.7,362720.0,889953.0,5.624229594,505048.0,8.18,10.8401599,82.80318235
Europe,Finland,18.2,1.79,42900.0,2.21243,1.9842080000000002,0.9249202,2.046279,0.7674459,0.23399999999999999,0.204,3224000.0,0.47,0.222,2019.0,5.6,2739091.0,5520314.0,22.14064462,4716888.0,9.8,5.861331001,0.0
Europe,France,119.0,1.97,40400.0,1.316893,1.480526,0.10913479999999999,1.4400870000000001,0.7709195,0.22899999999999998,0.327,89322000.0,0.3968804,0.21600000000000003,2019.0,4.8,30386432.0,67059887.0,20.39137028,54123364.0,9.1,11.81496362,78.21356392
Africa,Gabon,8.64,3.54,16500.0,-0.8512049,-0.8122834,-0.24759970000000003,-0.7061859,0.6328516,,,,0.1791045,0.15,2019.0,6.0,721924.0,2172579.0,3.544727257,1949694.0,6.997999999999999,44.38554846,100.0
Africa,Gambia,239.0,5.14,1620.0,-0.4630391,-0.6234712,-0.029553100000000002,-0.4307549,0.2289288,,0.155,552000.0,0.10344829999999999,0.10300000000000001,2019.0,1.9,779181.0,2347706.0,2.560925431,1453958.0,8.044,33.98263855,100.0
Europe,Georgia,57.4,1.96,11300.0,0.7079911,0.6145709,-0.4264878,0.3280484,0.3721465,0.29,0.28800000000000003,4757000.0,0.147651,0.217,2019.0,5.8,2032911.0,3720382.0,15.06105563,2196476.0,12.918,22.19605462,100.0
Europe,Germany,240.0,1.49,46700.0,1.946584,1.619633,0.6048951,1.6304459999999998,0.7765988,0.096,0.306,38881000.0,0.3088858,0.223,2019.0,10.4,43577709.0,83132799.0,21.56299232,64324835.0,11.3,12.02876736,89.17435643
Africa,Ghana,137.0,3.76,4590.0,-0.1149039,-0.21027039999999997,0.0298971,0.0718521,0.334704,0.187,0.039,,0.1309091,0.109,2019.0,2.5,12917053.0,30417856.0,3.097322178,17249054.0,7.414,34.7135141,100.0
Europe,Greece,80.9,1.3,26300.0,-0.06602589999999998,0.33826090000000003,0.09258569999999999,0.1529743,0.6017803,0.294,0.434,30123000.0,0.20666669999999998,0.249,2019.0,4.7,4776602.0,10716322.0,21.94147013,8507474.0,11.6,16.21826638,100.0
North America,Grenada,331.0,2.02,14700.0,0.3765373,-0.2529525,0.9976301,0.3104176,0.4269669,,,185000.0,0.46666670000000005,0.213,2019.0,10.7,,112003.0,9.677419355,40765.0,9.562999999999999,22.72268748,100.0
North America,Guatemala,167.0,2.77,7720.0,-0.8228126,-0.6820061,-0.541353,-1.050815,0.35844770000000004,0.174,,1781000.0,0.19375,0.212,2019.0,10.0,6847286.0,16604026.0,4.9289843310000006,8540945.0,4.762,24.07064893,100.0
Africa,Guinea,53.4,4.55,2500.0,-1.041717,-0.9709232,-0.8766674000000001,-1.211506,0.1717889,0.14800000000000002,,,0.22807020000000003,0.077,2019.0,2.4,4444072.0,12771246.0,2.94190559,4661505.0,8.715,26.0624902,100.0
Africa,Guinea-Bissau,70.0,4.34,1680.0,-1.533724,-1.48785,-0.6697531999999999,-1.234043,0.08197737,,,,0.13725489999999999,0.095,2019.0,2.4,799652.0,1920922.0,2.863260455,840922.0,9.805,29.77470228,100.0
South America,Guyana,4.0,2.41,8200.0,-0.22669770000000003,-0.26948390000000005,-0.1750658,-0.32010900000000003,0.5988701,,,287000.0,0.3188406,0.20199999999999999,2019.0,11.6,316951.0,782766.0,6.711584305,208912.0,7.365,22.37557463,99.98817732
North America,Haiti,414.0,2.73,1640.0,-1.265189,-1.909054,-0.6268144,-1.028031,0.1185619,0.24,0.127,447000.0,0.02542373,0.22699999999999998,2019.0,6.7,5080581.0,11263077.0,5.063669546,6328948.0,8.638,15.01982438,100.0
North America,Honduras,88.5,2.32,4720.0,-0.6164857,-0.6206585,-0.550988,-1.023039,0.4009058,0.14400000000000002,0.02,,0.2109375,0.214,2019.0,7.3,4614041.0,9746117.0,4.828189524,5626433.0,4.428,20.62885065,99.98352171
Europe,Hungary,107.0,1.43,30600.0,0.053347000000000006,0.48731090000000005,0.7552119,0.555392,0.6873710999999999,0.18100000000000002,0.306,17552000.0,0.1256281,0.264,2019.0,6.9,4720629.0,9769949.0,19.69445761,6999582.0,13.5,15.92604819,100.0
Europe,Iceland,3.4,1.9,47700.0,1.843649,1.465655,1.412426,1.719734,0.8182857,,0.147,2343800.0,0.3809524,0.21899999999999997,2019.0,5.8,217840.0,361313.0,15.19212107,339110.0,6.5,6.4811472629999995,10.28521579
Asia,India,464.0,2.24,7630.0,-0.18629300000000001,0.28304850000000004,-0.9565214,0.026216500000000004,0.27132009999999995,0.157,0.115,17423000.0,0.1439114,0.039,2019.0,10.4,494261426.0,1366417754.0,6.377924156000001,471031528.0,7.21,90.87321047,100.0
Asia,Indonesia,151.0,2.26,12500.0,-0.2515447,0.1798754,-0.5334369000000001,-0.3149146,0.48373190000000005,0.135,0.39399999999999996,15810000.0,0.173913,0.069,2019.0,6.3,134776525.0,270625568.0,6.050302682000001,151509724.0,6.433,16.5026533,95.56714726
Asia,Iran,51.6,1.57,15900.0,-0.9588165000000001,-0.43021729999999997,-1.306763,-0.6936131999999999,0.512473,0.26,0.11,7295000.0,0.05882353,0.258,2019.0,9.6,27903015.0,82913906.0,6.358522055,62509623.0,4.835,38.97876028,100.0
Asia,Iraq,92.6,4.14,16000.0,-1.399408,-1.320548,-2.55586,-1.759291,0.4186054,0.251,,,0.25227960000000005,0.304,2019.0,8.8,10475720.0,39309783.0,3.3985331339999996,27783368.0,4.8260000000000005,61.63623571,100.0
Europe,Ireland,71.7,1.97,74100.0,1.547376,1.4203379999999999,1.030591,1.464224,0.7329243000000001,0.24600000000000002,0.243,10926000.0,0.221519,0.253,2019.0,3.2,2418323.0,4941444.0,14.22283075,3133123.0,6.3,8.208576735,0.274091679
Asia,Israel,400.0,2.86,34400.0,0.7865694000000001,1.208207,-0.9324778,0.9939096,0.6362507,0.579,0.252,4121000.0,0.23333330000000002,0.261,2019.0,9.7,4181133.0,9053300.0,12.20867441,8374393.0,5.1,21.38110224,100.0
Europe,Italy,206.0,1.52,36100.0,0.23561880000000002,0.4138835,0.3111933,0.24676149999999997,0.7389739000000001,0.188,0.237,61567200.0,0.3571429,0.19899999999999998,2019.0,5.0,25946128.0,60297396.0,23.01213665,42651966.0,10.7,16.75071194,94.777214
North America,Jamaica,273.0,1.95,8350.0,-0.1643905,0.4967112,0.48691540000000005,-0.23594479999999998,0.6469824000000001,,0.168,2473000.0,0.17460320000000001,0.247,2019.0,11.3,1488632.0,2948279.0,8.922391673,1650594.0,7.558,13.40415053,100.0
Asia,Japan,347.0,1.51,40100.0,1.424772,1.675817,1.059693,1.5341069999999999,0.8409252,0.647,0.221,31192000.0,0.1010753,0.043,2019.0,5.6,68139088.0,126264931.0,28.00204928,115782416.0,10.8,11.70477819,76.76150823
Asia,Jordan,115.0,3.12,8440.0,0.1495421,0.11271800000000001,-0.3794051,0.2337911,0.4480054,0.209,,4150000.0,0.1538461,0.355,2019.0,12.7,2637892.0,10101694.0,3.893416292,9213048.0,3.843,33.00608118,100.0
Asia,Kazakhstan,6.96,2.51,26000.0,-0.5017262,0.0217204,0.0004052,-0.43160519999999997,0.6208115,0.161,0.24,8789000.0,0.27102800000000005,0.21,2019.0,6.1,9053149.0,18513930.0,7.652343941,10652915.0,7.15,13.82428836,87.41423053
Africa,Kenya,94.5,3.63,3260.0,-0.8520129000000001,-0.4108523,-1.164113,-0.4110505,0.42739269999999996,0.111,0.107,,0.21776500000000001,0.071,2019.0,3.1,23879160.0,52573973.0,2.42382671,14461523.0,5.582000000000001,28.57837427,100.0
